COLNAMES,,,,,,,,,,,,,,,,,,
7/1/2022,,,,,,,,,,,,,,,,,,
Opened,Closed,Held,Symbol,Type,Entry,Exit,Qty,Gross,Comm,Ecn Fee,SEC,TAF,NSCC,FTT,CLR,ORF,PTFPF,Net
07/11/22 11:12:05,11:28:04,00:15:59,PLRX,Long,18.90,18.70,10,(2.00),0.05,0.06,0.00,0.02,0.03,0.00,0.00,0.00,0.00,(2.16)
07/11/22 13:24:57,14:49:41,01:24:44,OCCI,Long,9.07,9.00,"1,000",(65.00),5.00,2.33,0.21,0.14,0.12,0.00,0.00,0.00,0.00,(72.80)
07/11/22 13:26:56,15:46:55,02:19:59,HPI,Short,17.18,17.18,300,1.11,1.50,1.29,0.12,0.06,0.08,0.00,0.00,0.00,0.00,(1.94)
07/11/22 13:30:30,15:19:04,01:48:34,EAD,Long,6.47,6.46,"1,000",(9.75),5.00,5.33,0.15,0.13,0.12,0.00,0.00,0.00,0.00,(20.48)
07/11/22 13:57:58,15:17:07,01:19:09,KKRS,Long,19.21,19.18,304,(9.12),1.52,1.76,0.13,0.06,0.08,0.00,0.00,0.00,0.00,(12.68)
Equities,,,,,,,"3,824",(48.46),19.12,14.74,1.29,0.69,0.76,0.00,0.00,0.00,0.00,(85.06)
,,,,,,,,,,,,,,,,,,
7/12/2022,,,,,,,,,,,,,,,,,,
Opened,Closed,Held,Symbol,Type,Entry,Exit,Qty,Gross,Comm,Ecn Fee,SEC,TAF,NSCC,FTT,CLR,ORF,PTFPF,Net
07/08/22 15:25:05,13:23:25,3d 21:58:20,MFA-PC,Long,18.25,18.28,400,12.18,2.00,2.01,0.17,0.09,0.07,0.00,0.00,0.00,0.00,7.84
,,,,,,,,,,,,,,,,,,
07/11/22 09:54:25,10:24:48,1d 00:30:23,PSA-PG,Short,24.36,24.38,556,(14.45),2.78,3.02,0.31,0.11,0.12,0.00,0.00,0.00,0.00,(20.79)
07/11/22 14:24:38,09:41:46,19:17:08,PSA-PF,Short,24.74,24.71,100,3.00,0.50,0.27,0.06,0.02,0.02,0.00,0.00,0.00,0.00,2.14
,,,,,,,,,,,,,,,,,,
07/12/22 09:40:41,11:02:13,01:21:32,UZE,Long,18.75,18.71,400,(16.00),2.00,1.64,0.17,0.07,0.07,0.00,0.00,0.00,0.00,(19.95)
07/12/22 09:44:02,10:02:22,00:18:20,BPYPM,Long,19.80,19.72,400,(30.75),2.00,2.60,0.18,0.07,0.09,0.00,0.00,0.00,0.00,(35.69)
